year,0
1980,105408
1981,105120
1982,105120
1983,105120
1984,105408
1985,105120
1986,105120
1987,105120
1988,105408
1989,105120
1990,105120
1991,105120
1992,105408
1993,105120
1994,105120
1995,105120
1996,105408
1997,105120
1998,105120
1999,105120
2000,105408
2001,105120
2002,105120
2003,105120
2004,105408
2005,105120
2006,105120
2007,105120
2008,105408
2009,105120
2010,105120
2011,105120
2012,105408
2013,105120
2014,105120
2015,105120
2016,105408
2017,105120
2018,105120
