year,temp_mean,precip_sum,wind_mean,deaths,disaster_count,population
1980,289.7060006830601,0.5381525083177932,7.769553864074241,0.0,0.0,29518857
1981,288.9735719178083,0.5882184638233535,7.82263380318227,64.0,1.0,30541044
1982,289.23378424657534,0.6262943069677654,7.981084485059463,0.0,0.0,31615339
1983,289.0433401826484,0.6264378907463,7.537352269137534,0.0,0.0,32739304
1984,289.3884551457195,0.6053273664634,7.957877074356233,0.0,0.0,33892788
1985,289.63424657534244,0.5620073779847,7.95436791633209,250.0,1.0,35042093
1986,289.9561803652968,0.6216949929109392,7.929038082834634,0.0,0.0,36180515
1987,289.26038584474884,0.464999341126054,7.7524980428909345,0.0,0.0,37326190
1988,289.32965277777777,0.5863772729637,8.441280310997609,0.0,0.0,38480649
1989,289.6341221461187,0.5707992263955661,7.68530334588518,0.0,0.0,39628575
1990,289.5397682648402,0.5944331495180318,8.263011801723852,78.0,1.0,40746268
1991,289.31726141552514,0.4602230213682422,7.360679213792017,0.0,0.0,41687898
1992,289.37251252276866,0.65079468160029,8.470232466182704,0.0,0.0,42443509
1993,289.6740924657534,0.5720329842586711,7.512517814963609,0.0,0.0,43297156
1994,289.7757671232877,0.4329215440950218,7.520716602788903,0.0,0.0,44004139
1995,289.49872831050226,0.56599071627952,7.917484508557803,0.0,0.0,44541554
1996,289.2775535063752,0.7377648229487483,8.159300354397523,0.0,0.0,45123018
1997,289.4706552511415,0.5900931658254583,7.877849259159733,0.0,0.0,45666838
1998,289.5957214611872,0.47459112217036,7.7358951159677005,187.0,1.0,46223880
1999,289.91309360730594,0.4856239665844631,7.813030484016849,0.0,0.0,46730335
2000,289.9951980874317,0.41158984073494265,7.960987385935524,0.0,0.0,47159719
2001,289.77386643835615,0.7333518632177,8.164057438901066,0.0,0.0,47566800
2002,289.7163378995434,0.61205529672906,7.976981108344808,56.0,1.0,48019415
2003,289.74931392694066,0.4684342235615,7.652663027841442,0.0,0.0,48500348
2004,289.8482695810565,0.535133963013182,7.098907943171123,0.0,0.0,48991421
2005,289.64554566210046,0.5873445898441,7.841645083710973,0.0,0.0,49490033
2006,289.67509474885844,0.4826037775585873,7.64030484384787,0.0,0.0,49998277
2007,290.0356541095891,0.6053293673961,8.123827258745457,0.0,0.0,50528584
2008,289.81844945355186,0.7400866319850198,8.169593119433538,89.0,1.0,51114599
2009,290.10833904109586,0.7549787266429436,8.460555829878373,156.0,1.0,51728516
2010,289.5462705479452,0.5956429848665,7.849023092966802,0.0,0.0,52344051
2011,289.73872146118725,0.5237794082472721,8.0603796445214,0.0,0.0,52995205
2012,289.810258424408,0.568132773353372,8.208112137091883,0.0,0.0,53782567
2013,289.9757294520548,0.5714787373960071,8.197177949421969,210.0,1.0,54678791
2014,290.0172945205479,0.5700597908848,7.877834708203453,0.0,0.0,55594838
2015,289.8357488584475,0.4470653415817551,7.605296953533006,0.0,0.0,56723537
2016,290.1400500910747,0.5751087441060535,7.813667721751201,123.0,1.0,57259551
2017,289.8645342465753,0.453388398914636,8.207810723869311,0.0,0.0,57635162
2018,289.9545239726027,0.5488514072613511,7.619548533470532,56.0,1.0,58613001
